TITLE,REGION,DISTANCE,DIST_TYPE,GAIN,HIGHEST,RATING,RATING_COUNT,LATITUDE,LONGITUDE,REPORT_DATE,REPORT_COUNT,URL
Camano Island State Park,Puget Sound and Islands,2.6,roundtrip,200,200,2.8,10,48.12196667,-122.4910167,3/11/21,90,https://www.wta.org/go-hiking/hikes/camano-island-state-park
Camano Ridge Trail,Puget Sound and Islands,5,trails,250,500,3.5,2,48.21449335,-122.4819803,1/30/21,41,https://www.wta.org/go-hiking/hikes/camano-ridge-forest-preserve
Camas Meadows,Central Cascades,2,roundtrip,350,3200,2,6,47.47555,-120.5837,10/18/20,21,https://www.wta.org/go-hiking/hikes/camas-meadows
Camels Hump,North Cascades,,,,8020,0,0,48.359212,-120.56528,5/27/17,1,https://www.wta.org/go-hiking/hikes/camels-hump
Cameron Creek,Olympic Peninsula,,,,,2.75,4,47.96501667,-123.1929667,8/8/20,26,https://www.wta.org/go-hiking/hikes/cameron-creek
Cameron Pass,Olympic Peninsula,,,,,3,5,,,9/10/20,27,https://www.wta.org/go-hiking/hikes/cameron-pass
Cameron-Lost Primitive,Olympic Peninsula,,,,,3.25,4,,,9/17/18,10,https://www.wta.org/go-hiking/hikes/cameron-lost-primitive
Camp 2 - Lookout Mountain,Puget Sound and Islands,8,roundtrip,2600,2767,3.57,7,48.64459235,-122.3301888,2/27/21,40,https://www.wta.org/go-hiking/hikes/camp-2-lookout-mt
Camp Brown,Snoqualmie Region,0.45,roundtrip,,,0,0,47.51251962,-121.6211843,1/30/21,8,https://www.wta.org/go-hiking/hikes/camp-brown
Camp Creek,Snoqualmie Region,,,,,3.33,3,,,6/6/12,3,https://www.wta.org/go-hiking/hikes/camp-creek
Camp Creek Falls,South Cascades,0.6,roundtrip,40,1360,3.5,4,46.448709,-121.835455,12/21/20,8,https://www.wta.org/go-hiking/hikes/camp-creek-falls
Camp Long,Puget Sound and Islands,1.6,roundtrip,240,350,3.57,7,47.55540756,-122.37532,10/3/20,18,https://www.wta.org/go-hiking/hikes/camp-long
Camp Muir,Mount Rainier Area,8,roundtrip,4640,10080,4.58,43,46.78603333,-121.7349833,3/13/21,519,https://www.wta.org/go-hiking/hikes/camp-muir
Camp Muir Snowshoe,Mount Rainier Area,10,roundtrip,4400,10000,3.5,4,46.78622,-121.7353718,1/23/21,70,https://www.wta.org/go-hiking/hikes/camp-muir-snowshoe
Camp Pleasant,Olympic Peninsula,14,roundtrip,800,,4,2,47.51529354,-123.3258505,7/2/20,14,https://www.wta.org/go-hiking/hikes/camp-pleasant
Camp Schurman,Mount Rainier Area,,,,,5,2,46.90031955,-121.6581345,7/27/20,13,https://www.wta.org/go-hiking/hikes/camp-schurman
Camp Sekani Park,Eastern Washington,,,,,0,0,,,7/17/19,2,https://www.wta.org/go-hiking/hikes/camp-sekani-park
Campbell Lake,Eastern Washington,,,,,2,3,48.45601812,-120.1200485,2/8/13,1,https://www.wta.org/go-hiking/hikes/campbell-lake
Candy Mountain Trail,Central Washington,3.6,roundtrip,555,1383,5,1,46.24638535,-119.3483803,1/19/20,13,https://www.wta.org/go-hiking/hikes/candy-mountain-trail
Candy Point Trail,Central Washington,1.5,roundtrip,700,,0,0,47.96875,-118.985199,3/23/19,5,https://www.wta.org/go-hiking/hikes/candy-point-trail
Cannon Mountain,Central Cascades,,,,8638,0,0,47.5029,-120.8013,8/24/20,7,https://www.wta.org/go-hiking/hikes/cannon-mountain
Canoe Peak,Snoqualmie Region,3,roundtrip,3600,5400,0,0,,,7/4/18,6,https://www.wta.org/go-hiking/hikes/canoe-peak
Canyon Creek,North Cascades,7,roundtrip,700,2600,3.17,6,48.70626667,-120.91855,10/4/20,29,https://www.wta.org/go-hiking/hikes/canyon-creek
Canyon Lake,North Cascades,5.4,roundtrip,200,2960,0,0,48.10843414,-121.7394805,12/8/20,4,https://www.wta.org/go-hiking/hikes/canyon-lake-2
Canyon Lake,Central Cascades,12,roundtrip,3800,6400,2.17,6,48.2481054,-121.1924138,8/12/20,15,https://www.wta.org/go-hiking/hikes/canyon-lake
Canyon Lake Community Forest,North Cascades,7.5,roundtrip,2400,,5,1,48.82969603,-122.0628691,8/28/19,15,https://www.wta.org/go-hiking/hikes/canyon-lake-community-forest
Canyon Ridge,North Cascades,,,,,3,4,48.91602199,-121.8937499,8/9/20,18,https://www.wta.org/go-hiking/hikes/canyon-ridge
Cap Sante Park,Puget Sound and Islands,3.2,roundtrip,490,220,4,2,48.51902061,-122.6063168,2/20/21,7,https://www.wta.org/go-hiking/hikes/cap-sante-park
Cape Alava,Olympic Peninsula,6.2,roundtrip,100,350,3.4,10,48.15369715,-124.6687281,3/10/21,66,https://www.wta.org/go-hiking/hikes/cape-alava
Cape Alava Loop (Ozette Triangle),Olympic Peninsula,9.4,roundtrip,100,350,4.2,51,48.153554,-124.6679127,3/11/21,343,https://www.wta.org/go-hiking/hikes/lake-ozette
Cape Disappointment State Park - Cape Disappointment Lighthouse,Southwest Washington,0.6,roundtrip,150,200,0,0,46.27849178,-124.0527421,10/10/20,38,https://www.wta.org/go-hiking/hikes/cape-disappointment-state-park-cape-disappointment-lighthouse
Cape Disappointment State Park - Coastal Forest Loop,Southwest Washington,1.4,roundtrip,260,140,0,0,46.28402474,-124.0545349,4/20/19,4,https://www.wta.org/go-hiking/hikes/cape-disappointment-state-park-coastal-forest-loop
Cape Disappointment State Park - McKenzie Head,Southwest Washington,0.4,roundtrip,200,200,0,0,46.28567822,-124.0631538,6/14/20,2,https://www.wta.org/go-hiking/hikes/mckenzie-head
Cape Disappointment State Park - North Head Lighthouse and Bell's Overlook,Southwest Washington,0.75,roundtrip,25,200,3.83,6,46.28812193,-124.07547,7/20/20,43,https://www.wta.org/go-hiking/hikes/cape-disappointment-state-park
Cape Disappointment State Park - North Head Trail,Southwest Washington,1.8,one-way,420,200,0,0,46.29807891,-124.0728273,8/14/20,18,https://www.wta.org/go-hiking/hikes/cape-disappointment-state-park-north-head-trail
Cape Flattery,Olympic Peninsula,1.5,roundtrip,200,250,4.34,47,48.38441667,-124.7156667,3/13/20,171,https://www.wta.org/go-hiking/hikes/cape-flattery
Cape Horn,Southwest Washington,7.2,roundtrip,1300,1350,3.89,18,45.58899616,-122.1786976,3/11/21,84,https://www.wta.org/go-hiking/hikes/cape-horn
Capitol Lake Trails (Marathon Park and Heritage Park),Olympic Peninsula,5.7,trails,,,3,2,47.03690265,-122.9126921,11/23/20,6,https://www.wta.org/go-hiking/hikes/capitol-lake-north-basin-shoreline-trail-and-sidewalk-loop-marathon-park-heritage-park
Capitol State Forest - Bob Bammert Grove Loop,Olympic Peninsula,1.1,roundtrip,300,560,0,0,46.896891,-123.095249,2/28/21,17,https://www.wta.org/go-hiking/hikes/bob-bammert-grove-trail
Capitol State Forest - Capitol Peak,Olympic Peninsula,9,roundtrip,1300,2659,3.38,8,46.9731078,-123.1380272,3/8/21,35,https://www.wta.org/go-hiking/hikes/capitol-peak
Capitol State Forest - McLane Creek,Olympic Peninsula,1.5,roundtrip,50,60,3.82,17,47.00076667,-123.0042,3/4/21,69,https://www.wta.org/go-hiking/hikes/mclane-creek
Capitol State Forest - Mima Falls Loop,Olympic Peninsula,6.5,roundtrip,,650,3.6,20,46.901912,-123.0640232,3/27/21,224,https://www.wta.org/go-hiking/hikes/capitol-state-forest-mima-falls
Capitol State Forest - Mount Molly,Olympic Peninsula,3,roundtrip,908,1950,3,1,46.94604353,-123.0984592,7/28/19,12,https://www.wta.org/go-hiking/hikes/mount-molly
Capitol State Forest - Porter Falls,Olympic Peninsula,2.2,roundtrip,450,,4,3,46.97144688,-123.274382,2/27/21,73,https://www.wta.org/go-hiking/hikes/porter-falls
Capitol State Forest - Porter Trail,Olympic Peninsula,26,roundtrip,400,2050,0,0,46.97740352,-123.257469,9/2/18,1,https://www.wta.org/go-hiking/hikes/capitol-state-forest-porter-trail
Capitol State Forest - Rock Candy Mountain,Olympic Peninsula,5.5,roundtrip,1000,1500,2.67,3,47.031934,-123.093843,2/28/21,34,https://www.wta.org/go-hiking/hikes/rock-candy-mountain
Capitol State Forest - Sherman Creek Loop,Olympic Peninsula,7.8,roundtrip,800,1150,3.67,9,46.93857209,-123.1300449,6/9/20,45,https://www.wta.org/go-hiking/hikes/sherman-creek
Capitol State Forest - Waddell Basin West,Olympic Peninsula,9.22,one-way,,,0,0,46.93909815,-123.077538,9/1/19,5,https://www.wta.org/go-hiking/hikes/waddell-basin-west
Capitol State Forest Fuzzy Top,Olympic Peninsula,1.2,roundtrip,240,1760,0,0,46.937452,-123.162958,6/11/20,1,https://www.wta.org/go-hiking/hikes/capitol-state-forest-fuzzy-top
Cappy's Trails,Olympic Peninsula,,,,,0,0,48.13469026,-122.7838898,,0,https://www.wta.org/go-hiking/hikes/cappys-trails
Captain Point,Central Cascades,,,,,3.5,2,47.7669444,-121.1938888,5/28/20,8,https://www.wta.org/go-hiking/hikes/captain-point
Captain William Clark Regional Park at Cottonwood Beach - Dike Trail,Southwest Washington,6,roundtrip,,,1,1,45.5669055,-122.3371104,8/11/19,3,https://www.wta.org/go-hiking/hikes/captain-william-clark-regional-park-at-cottonwood-beach-dike-trail
Carbon Glacier,Mount Rainier Area,18.4,roundtrip,1800,3500,3.72,18,46.99494526,-121.9154275,3/3/21,123,https://www.wta.org/go-hiking/hikes/carbon-glacier
Carbon River Rain Forest Nature Trail,Mount Rainier Area,0.6,roundtrip,20,1780,3.4,5,46.994935,-121.916906,9/9/20,17,https://www.wta.org/go-hiking/hikes/carbon-river-rain-forest-nature-trail
Carbon River to Ipsut Falls,Mount Rainier Area,10.8,roundtrip,,,3.5,8,46.99490155,-121.9122775,3/27/21,254,https://www.wta.org/go-hiking/hikes/carbon-river
Cardinal Peak,Central Cascades,,,,8595,0,0,48.103008,-120.612605,7/18/20,3,https://www.wta.org/go-hiking/hikes/cardinal-peak
Caribou Ridge Hike,Eastern Washington,4.6,one-way,2200,4400,0,0,47.60765315,-116.6690433,8/8/18,1,https://www.wta.org/go-hiking/hikes/caribou-ridge-hike-79
Carkeek Park,Puget Sound and Islands,3.5,roundtrip,800,240,3.87,15,47.70330575,-122.3634331,2/27/21,92,https://www.wta.org/go-hiking/hikes/carkeek-park
Carlisle Lake,South Cascades,1,roundtrip,,,0,0,46.57849313,-122.7262706,11/24/19,1,https://www.wta.org/go-hiking/hikes/carlisle-lake
Carlton Creek,South Cascades,,,,,3,4,,,6/9/08,5,https://www.wta.org/go-hiking/hikes/carlton-creek
Carlton Ridge,South Cascades,8.8,one-way,2400,5600,2.5,4,46.71280837,-121.4898434,8/18/19,2,https://www.wta.org/go-hiking/hikes/kincaid
Carne Mountain,Central Cascades,7.3,roundtrip,3600,7085,4.12,17,48.08291667,-120.8349667,10/24/20,143,https://www.wta.org/go-hiking/hikes/carne-mountain
Carne Mountain High Route,Central Cascades,,,,,5,3,,,10/2/20,25,https://www.wta.org/go-hiking/hikes/carne-mt.-high-route
Caroline Peak,Snoqualmie Region,17,roundtrip,5200,5885,0,0,47.481121,-121.503992,10/8/17,1,https://www.wta.org/go-hiking/hikes/caroline-peak
Carter Falls,Mount Rainier Area,2.8,roundtrip,660,3650,3.83,18,46.76620587,-121.792717,3/20/21,129,https://www.wta.org/go-hiking/hikes/carter-falls
Cascade Creek,Central Cascades,2.4,one-way,2400,6000,2.5,4,47.44696741,-120.8103687,10/7/20,8,https://www.wta.org/go-hiking/hikes/cascade-creek
Cascade Lookout,Snoqualmie Region,,,,,3.5,2,,,5/31/09,1,https://www.wta.org/go-hiking/hikes/cascade-lookout
Cascade Pass,North Cascades,7,roundtrip,1800,5392,4.12,32,48.47544497,-121.0750564,11/21/20,262,https://www.wta.org/go-hiking/hikes/cascade-pass
Cascade Pass and Sahale Arm,North Cascades,12,roundtrip,4000,7570,4.43,63,48.47545924,-121.075002,10/22/20,455,https://www.wta.org/go-hiking/hikes/sahale-arm
Cascade Rock,Olympic Peninsula,4.5,roundtrip,1800,1825,3.5,6,48.027467,-123.58825,1/9/21,10,https://www.wta.org/go-hiking/hikes/cascade-rock
Cascade Trail,Puget Sound and Islands,22.5,one-way,60,230,2.5,2,48.517885,-122.20873,11/21/20,15,https://www.wta.org/go-hiking/hikes/cascade-trail
Cashmere Mountain,Central Cascades,,,,,4,4,47.5464965,-120.7914283,8/4/20,32,https://www.wta.org/go-hiking/hikes/cashmere-mountain
Castle Lake,South Cascades,,,,,2.67,3,46.16882406,-122.2601938,7/3/20,2,https://www.wta.org/go-hiking/hikes/castle-lake
Castle Mountain,South Cascades,,,,,2.5,4,,,7/28/20,10,https://www.wta.org/go-hiking/hikes/castle-mountain
Castle Pass,North Cascades,18.9,one-way,5400,6600,2.5,4,,,6/29/19,14,https://www.wta.org/go-hiking/hikes/castle-pass
Castle Peak,North Cascades,,,,8306,0,0,48.9822,-120.8607,9/24/16,3,https://www.wta.org/go-hiking/hikes/castle-peak
Castle Rock,Central Washington,,,,,4,1,47.42072124,-120.3509867,3/20/21,12,https://www.wta.org/go-hiking/hikes/castle-rock
Castle Rock Riverfront Trail,Southwest Washington,3.4,roundtrip,,150,2,1,46.2648954,-122.9009124,8/26/20,5,https://www.wta.org/go-hiking/hikes/castle-rock-riverfront-trail
Cat Basin Primitive,Olympic Peninsula,5,one-way,1500,5500,2.75,4,47.95601907,-123.8378906,7/24/20,12,https://www.wta.org/go-hiking/hikes/cat-basin-primitive
Cat Creek Way,Olympic Peninsula,,,,,0,0,,,9/3/17,5,https://www.wta.org/go-hiking/hikes/cat-creek-way-trail
Cathedral,Eastern Washington,,,,,2.75,4,,,6/13/19,1,https://www.wta.org/go-hiking/hikes/cathedral
Cathedral Creek,North Cascades,,,,,1.75,4,,,,0,https://www.wta.org/go-hiking/hikes/cathedral-creek
Cathedral Pass Loop,North Cascades,44.7,roundtrip,4000,7800,2.86,7,48.821961,-120.0197863,8/23/20,34,https://www.wta.org/go-hiking/hikes/cathedral-pass-loop
Cathedral Rock,Snoqualmie Region,8,roundtrip,2290,5550,3.31,13,47.5434644,-121.0969905,10/4/20,209,https://www.wta.org/go-hiking/hikes/cathedral-rock
Catherine Creek - Natural Arch,Southwest Washington,2.1,roundtrip,250,500,4,1,45.71085432,-121.3612461,2/25/21,25,https://www.wta.org/go-hiking/hikes/catherine-creek-natural-arch
Catherine Creek - Tracy Hill Loop,Southwest Washington,6.1,roundtrip,1715,1870,0,0,45.7104335,-121.3620894,8/1/20,5,https://www.wta.org/go-hiking/hikes/catherine-creek-tracy-hill-loop
Catherine Creek - Universal Access Trail,Southwest Washington,1.5,roundtrip,120,300,3,6,45.7103935,-121.3621588,2/25/21,37,https://www.wta.org/go-hiking/hikes/catherine-creek-universal-access-trail
Cattle Point Lighthouse,Puget Sound and Islands,0.5,roundtrip,25,25,5,1,48.45357039,-122.9634476,11/30/19,10,https://www.wta.org/go-hiking/hikes/cattle-point-lighthouse
Cavanaugh Pond Natural Area,Puget Sound and Islands,0.8,roundtrip,,,0,0,47.463968,-122.111805,3/18/20,2,https://www.wta.org/go-hiking/hikes/cavanaugh-pond-natural-area
Cave Hole,Issaquah Alps,2.4,roundtrip,,,3.33,6,47.53448028,-122.1284994,3/13/21,166,https://www.wta.org/go-hiking/hikes/cave-hole
Cave Ridge,Snoqualmie Region,,,,,0,0,,,3/13/21,31,https://www.wta.org/go-hiking/hikes/cave-ridge
Cedar Butte,Snoqualmie Region,3.5,roundtrip,900,1880,3.33,49,47.43251096,-121.7663026,3/26/21,465,https://www.wta.org/go-hiking/hikes/cedar-butte
Cedar Creek Park,Puget Sound and Islands,4,roundtrip,300,,3,1,47.37580214,-122.0593929,1/17/21,8,https://www.wta.org/go-hiking/hikes/cedar-creek-park
Cedar Downs,Puget Sound and Islands,4,roundtrip,,,4.17,6,47.373867,-122.055672,2/6/21,22,https://www.wta.org/go-hiking/hikes/cedar-downs
Cedar Falls,North Cascades,3.5,roundtrip,500,3500,3,8,48.57916667,-120.4786833,10/3/20,80,https://www.wta.org/go-hiking/hikes/cedar-creek
Cedar Falls Snowshoe,North Cascades,9.6,roundtrip,1350,3570,4.5,4,48.5803562,-120.48204,2/14/21,8,https://www.wta.org/go-hiking/hikes/cedar-falls-snowshoe
Cedar Flats Nature Trail,Southwest Washington,1.1,roundtrip,67,1380,2.5,4,46.11195973,-122.0184436,7/19/20,7,https://www.wta.org/go-hiking/hikes/cedar-flat
Cedar Lake Way,Olympic Peninsula,,,,,2.6,5,47.9473234,-123.1958148,7/15/18,5,https://www.wta.org/go-hiking/hikes/cedar-lake-way
Cedar River Trail,Puget Sound and Islands,17.4,one-way,820,600,3.67,9,47.50003955,-122.2149181,10/24/20,38,https://www.wta.org/go-hiking/hikes/cedar-river-trail
Cedar Springs,North Cascades,,,,,4.5,2,,,,0,https://www.wta.org/go-hiking/hikes/cedar-springs
Centennial Trail,Puget Sound and Islands,30.5,one-way,,,0,0,47.91925352,-122.0867608,1/9/21,7,https://www.wta.org/go-hiking/hikes/centennial-trail
Center Mountain Cutoff,North Cascades,,,,,2.5,4,,,9/5/20,2,https://www.wta.org/go-hiking/hikes/center-mountain-cutoff
Center Mtn (6593') Daemon Peak (7514'),North Cascades,,,,,0,0,,,9/7/12,1,https://www.wta.org/go-hiking/hikes/center-mtn-6593-daemon-peak-7514
Central Peak,Issaquah Alps,6.6,roundtrip,,2025,3.1,10,47.4817453,-122.0531783,3/23/21,194,https://www.wta.org/go-hiking/hikes/central-peak
Chadwick Hill,Puget Sound and Islands,,,,,5,1,48.42977008,-122.8173637,8/25/19,7,https://www.wta.org/go-hiking/hikes/chadwick-hill
Chain Lakes Loop,North Cascades,6.5,roundtrip,1820,5400,4.45,44,48.84691548,-121.6925041,12/5/20,439,https://www.wta.org/go-hiking/hikes/chain-lakes-3
Chain Lakes Trail,Central Cascades,4.2,one-way,1900,5700,3.86,7,47.74604833,-121.086574,9/15/20,70,https://www.wta.org/go-hiking/hikes/chain-lakes-trail
Chair Lift,South Cascades,,,,,3.6,5,,,8/30/08,1,https://www.wta.org/go-hiking/hikes/chair-lift
Chair Peak,Snoqualmie Region,9,roundtrip,,6244,0,0,47.41535481,-121.4433131,10/6/19,6,https://www.wta.org/go-hiking/hikes/chair-peak
Chair Peak Lake,Snoqualmie Region,,,,,3.29,7,47.4149183,-121.4434116,1/30/21,41,https://www.wta.org/go-hiking/hikes/chair-peak-lake
Chambers Bay Loop,Puget Sound and Islands,3.25,roundtrip,315,234,4.67,15,47.2116685,-122.5695705,3/5/21,85,https://www.wta.org/go-hiking/hikes/chambers-bay-loop
Chambers Creek Canyon,Puget Sound and Islands,2.5,trails,500,,4,1,47.1915753,-122.5732221,3/11/21,9,https://www.wta.org/go-hiking/hikes/chambers-creek-canyon
Chamna Natural Preserve,Central Washington,3.8,roundtrip,30,350,3.25,8,46.25771305,-119.2865159,12/22/20,9,https://www.wta.org/go-hiking/hikes/chamna-natural-preserve
Champion Beach,Snoqualmie Region,,,,,0,0,47.48859325,-121.6435111,12/13/20,1,https://www.wta.org/go-hiking/hikes/champion-beach
Chancellor,North Cascades,13.8,roundtrip,3500,6300,3,4,48.7028865,-120.9102921,11/6/20,33,https://www.wta.org/go-hiking/hikes/chancellor
Change Peak,Snoqualmie Region,,,,,3.8,5,47.4234418,-121.673584,3/9/21,61,https://www.wta.org/go-hiking/hikes/change-peak
Chapin Trail,Puget Sound and Islands,0.2,roundtrip,,,0,0,47.62806911,-122.2004128,10/29/20,2,https://www.wta.org/go-hiking/hikes/chapin-trail
Charlia Lakes Way Trail,Olympic Peninsula,,,,,3.5,4,47.8337186,-123.0163316,7/21/20,16,https://www.wta.org/go-hiking/hikes/charlia-lakes-way-trail
Chatter Creek,Central Cascades,11,roundtrip,3800,6400,4,4,47.6098,-120.892,9/27/20,147,https://www.wta.org/go-hiking/hikes/chatter-creek
Che-che-op-tin Trail,Southwest Washington,1,roundtrip,10,25,0,0,45.61921471,-122.027303,8/18/20,3,https://www.wta.org/go-hiking/hikes/che-che-op-tin-trail
Chehalis River Discovery Trail,Southwest Washington,3.6,roundtrip,210,265,0,0,46.76808443,-123.0245074,1/13/21,14,https://www.wta.org/go-hiking/hikes/chehalis-river-discovery-trail
Chehalis Western Trail,Olympic Peninsula,22,roundtrip,,500,4.33,3,47.03361597,-122.8391862,2/4/21,14,https://www.wta.org/go-hiking/hikes/chehalis-western-trail
Chelan Butte,Central Cascades,7.46,roundtrip,2500,,3.91,11,47.8307643,-120.0100679,3/6/21,63,https://www.wta.org/go-hiking/hikes/chelan-butte
Chelan Gorge Trail,Central Washington,2,roundtrip,150,,0,0,,,11/18/19,1,https://www.wta.org/go-hiking/hikes/chelan-gorge-trail
Chelan Lakeshore Trail,Central Cascades,17,one-way,4030,1700,3.67,12,48.14662855,-120.4983022,10/15/20,154,https://www.wta.org/go-hiking/hikes/chelan-lakeshore
Chelan Ridge,Central Cascades,1.2,roundtrip,250,,0,0,,,9/3/12,1,https://www.wta.org/go-hiking/hikes/chelan-ridge
Chelan Summit,North Cascades,38,one-way,6500,,3.67,3,48.10705731,-120.3385091,10/1/20,25,https://www.wta.org/go-hiking/hikes/chelan-summit-1261
Chelatchie Prairie Rail Trail,Southwest Washington,2,roundtrip,50,500,0,0,45.803,-122.4914,6/8/19,2,https://www.wta.org/go-hiking/hikes/chelatchie-prairie-rail-trail
Chenamus Lake,South Cascades,2.8,roundtrip,260,4250,3.25,4,,,9/1/19,2,https://www.wta.org/go-hiking/hikes/chenamus-lake
Chenuis Falls,Mount Rainier Area,8,roundtrip,500,2200,3.14,7,46.995,-121.9155,11/21/20,85,https://www.wta.org/go-hiking/hikes/chenuis-falls
Cheops,North Cascades,,,5790,8275,0,0,48.196766,-120.349104,7/22/20,2,https://www.wta.org/go-hiking/hikes/cheops
Cherry Creek Falls,Central Cascades,5,roundtrip,450,705,3.65,40,47.74567234,-121.9076443,3/23/21,553,https://www.wta.org/go-hiking/hikes/cherry-creek-falls
Chesaw Wildlife Area,Eastern Washington,,,,,0,0,48.94276,-119.070036,6/1/19,2,https://www.wta.org/go-hiking/hikes/chesaw-wildlife-area
Cheshiahud Lake Union Loop,Puget Sound and Islands,6,roundtrip,,,3.67,6,47.64596178,-122.3361969,11/28/20,40,https://www.wta.org/go-hiking/hikes/chesiahud-lake-union-loop
Chester Butte Wildlife Area,Central Washington,5,roundtrip,209,2394,3.5,4,,,4/14/17,1,https://www.wta.org/go-hiking/hikes/chester-butte-wildlife-area
Chetwoot Lake,Central Cascades,,,,,0,0,,,9/5/20,9,https://www.wta.org/go-hiking/hikes/chetwoot-lake
Chewelah Peak,Eastern Washington,4,roundtrip,1851,5773,0,0,48.30041236,-117.562809,6/30/19,4,https://www.wta.org/go-hiking/hikes/chewelah-peak
Chewuch River Trail,North Cascades,37.4,roundtrip,3300,6900,3.5,4,48.826262,-120.019466,8/9/20,41,https://www.wta.org/go-hiking/hikes/chewuch
Chief Joseph Wildlife Area - 4-O Ranch,Eastern Washington,,,1500,3000,0,0,46.04073979,-117.2911549,3/22/18,1,https://www.wta.org/go-hiking/hikes/chief-joseph-wildlife-area-4-o-ranch
Chief Joseph Wildlife Area - Green Gulch,Eastern Washington,10,roundtrip,2500,,3.43,7,46.022072,-117.0276353,3/4/21,9,https://www.wta.org/go-hiking/hikes/chief-joseph-wildlife-area-green-gulch
Chief Joseph Wildlife Area - Joseph Canyon,Eastern Washington,2,roundtrip,,1160,0,0,46.00828945,-117.0435333,10/20/20,2,https://www.wta.org/go-hiking/hikes/chief-joseph-wildlife-area-joseph-canyon
Chief Old Bones,Eastern Washington,,,,,3.75,4,,,4/12/19,1,https://www.wta.org/go-hiking/hikes/chief-old-bones
Chief Sealth Trail,Puget Sound and Islands,4.3,one-way,800,330,3,2,47.51250513,-122.2653008,11/28/20,9,https://www.wta.org/go-hiking/hikes/chief-sealth-trail
Chihuly Trail,Central Cascades,,,,,3.5,2,47.55021088,-120.6867155,4/1/15,2,https://www.wta.org/go-hiking/hikes/chihuly-trail
Chikamin Creek ORV,Central Cascades,,,,,3.25,4,,,8/6/12,2,https://www.wta.org/go-hiking/hikes/chikamin-creek-orv
Chikamin Tie ORV,Central Cascades,,,,,3.5,4,,,10/3/20,4,https://www.wta.org/go-hiking/hikes/chikamin-tie-orv
Children of the Sun,Eastern Washington,10,one-way,,,0,0,47.77456182,-117.4018979,3/18/20,6,https://www.wta.org/go-hiking/hikes/children-of-the-sun
Chilean Memorial,Olympic Peninsula,,,,,0,0,47.96434595,-124.6635443,3/25/21,28,https://www.wta.org/go-hiking/hikes/chilean-memorial
Chilliwack River,North Cascades,,,,,3.25,4,,,9/5/20,14,https://www.wta.org/go-hiking/hikes/chilliwack-river
Chimney Rock,Central Cascades,,,,7727,0,0,,,8/27/11,4,https://www.wta.org/go-hiking/hikes/chimney-rock
China Creek,Issaquah Alps,0.8,one-way,,,3.4,5,47.53334937,-122.1704793,1/30/19,6,https://www.wta.org/go-hiking/hikes/china-creek
Chinook,South Cascades,300,roundtrip,,,3.75,4,,,10/31/10,1,https://www.wta.org/go-hiking/hikes/chinook
Chinook Bend Natural Area,Puget Sound and Islands,1.25,trails,50,,3,1,47.66990306,-121.9280183,1/3/21,5,https://www.wta.org/go-hiking/hikes/chinook-bend-natural-area
Chinook Pass Snowshoe,Mount Rainier Area,,,,,3.25,4,46.89695085,-121.4322968,12/24/20,10,https://www.wta.org/go-hiking/hikes/chinook-pass
Chinook Pass to Crystal Mountain via the Pacific Crest Trail,Mount Rainier Area,8.9,one-way,1400,6400,5,1,46.8720115,-121.5159345,8/28/20,12,https://www.wta.org/go-hiking/hikes/chinook-pass-to-crystal-mountain-via-the-pct
Chinook Trail,Southwest Washington,2.4,roundtrip,1340,3780,4,1,45.77368954,-122.2774458,7/24/16,4,https://www.wta.org/go-hiking/hikes/kloochman-butte-trail-180b
Chipmunk Rapids National Recreation Trail,Eastern Washington,10,trails,,2400,0,0,48.44950007,-116.912384,12/27/20,2,https://www.wta.org/go-hiking/hikes/chipmunk-rapids-national-recreation-trail-kaniksu-marsh-loop
Chipmunk Rd (FS 1802),South Cascades,,,,,1,2,,,1/23/09,1,https://www.wta.org/go-hiking/hikes/chipmunk-rd-fs-1802
Chiwaukum Creek,Central Cascades,12,roundtrip,1550,3350,2,9,47.68893333,-120.7408167,10/5/20,149,https://www.wta.org/go-hiking/hikes/chiwaukum-creek
Chiwaukum Creek Snowshoe,Central Cascades,10.4,roundtrip,1200,3200,1.5,2,47.6892354,-120.7388158,4/1/17,4,https://www.wta.org/go-hiking/hikes/chiwaukum-creek-snowshoe
Chiwaukum Mountain,Central Cascades,,,,7423,3,3,,,1/30/09,1,https://www.wta.org/go-hiking/hikes/chiwaukum-mountains
Chiwawa River,Central Cascades,,,,,3.6,5,48.10475,-120.8318833,7/22/20,19,https://www.wta.org/go-hiking/hikes/chiwawa-river
Chopaka Lake,North Cascades,,,,,5,1,48.91706335,-119.7021486,10/13/19,1,https://www.wta.org/go-hiking/hikes/chopaka-lake
Chopaka Mountain,North Cascades,,,,,3.25,4,48.94017215,-119.7939125,6/17/18,6,https://www.wta.org/go-hiking/hikes/chopaka-mountain
Chopper Peak,Central Washington,3,roundtrip,1440,2400,3,1,47.39930423,-120.3956723,3/20/21,9,https://www.wta.org/go-hiking/hikes/chopper-peak
Choral Peak,Central Cascades,,,,7909,0,0,48.0971,-120.6559,9/9/17,1,https://www.wta.org/go-hiking/hikes/choral-peak
Chuchuwanteen Lake,North Cascades,,,,,3,4,,,,0,https://www.wta.org/go-hiking/hikes/chuchuwanteen-lake
Chukar Lake - Blythe Lake,Central Washington,4,roundtrip,100,1000,2.83,6,46.96725089,-119.3108368,1/13/21,9,https://www.wta.org/go-hiking/hikes/blythe-lake
